                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.56662,                 112.95,                 1.0136,                      0,                      0,                      0,                      0,                 6.9736,                 32.856,                 4.1589,                  2e-05,                  2e-05,                  2e-05
                      2,                0.89574,                 110.83,                 1.0034,                      0,                      0,                      0,                      0,                 6.9735,                  32.87,                 4.1589,             5.9604e-05,             5.9604e-05,             5.9604e-05
                      3,                 1.4942,                 109.37,                 2.0048,                      0,                      0,                      0,                      0,                 6.9734,                 32.868,                 4.1589,              9.868e-05,              9.868e-05,              9.868e-05
                      4,                 1.4154,                 103.21,                  1.384,                      0,                      0,                      0,                      0,                 6.9733,                 32.817,                 4.1588,             0.00013723,             0.00013723,             0.00013723
                      5,                 2.7718,                 97.968,                 2.9844,                      0,                      0,                      0,                      0,                 6.9732,                 32.757,                 4.1588,             0.00017525,             0.00017525,             0.00017525
                      6,                 4.4535,                 88.639,                 3.7306,                      0,                      0,                      0,                      0,                 6.9731,                 32.669,                 4.1589,             0.00021274,             0.00021274,             0.00021274
                      7,                 2.9714,                  77.49,                 2.3155,                      0,                      0,                      0,                      0,                  6.973,                 32.537,                 4.1593,              0.0002497,              0.0002497,              0.0002497
                      8,                 3.6247,                  68.11,                 2.3052,                      0,                      0,                      0,                      0,                  6.973,                 32.273,                 4.1602,             0.00028614,             0.00028614,             0.00028614
                      9,                 4.8105,                   52.1,                 3.7459,                      0,                      0,                      0,                      0,                 6.9729,                 31.579,                  4.161,             0.00032205,             0.00032205,             0.00032205
                     10,                 6.1576,                 50.526,                 4.0713,                      0,                      0,                      0,                      0,                 6.9729,                 31.094,                 4.1626,             0.00035743,             0.00035743,             0.00035743
                     11,                 5.0334,                 36.371,                 4.3213,                      0,                      0,                      0,                      0,                 6.9729,                 30.461,                 4.1646,             0.00039228,             0.00039228,             0.00039228
                     12,                 5.2594,                 31.842,                 4.7722,                      0,                      0,                      0,                      0,                 6.9731,                 29.646,                 4.1669,              0.0004266,              0.0004266,              0.0004266
                     13,                 4.7004,                 52.753,                 2.5195,                      0,                      0,                      0,                      0,                 6.9734,                 26.401,                 4.1692,              0.0004604,              0.0004604,              0.0004604
                     14,                 5.3726,                 29.551,                 3.1842,                      0,                      0,                      0,                      0,                 6.9739,                 24.389,                  4.172,             0.00049367,             0.00049367,             0.00049367
                     15,                  4.491,                 21.481,                 4.3011,                      0,                      0,                      0,                      0,                 6.9743,                 22.623,                 4.1755,             0.00052641,             0.00052641,             0.00052641
                     16,                 4.5133,                  17.95,                 3.5112,                      0,                      0,                      0,                      0,                 6.9746,                 21.029,                 4.1788,             0.00055862,             0.00055862,             0.00055862
                     17,                 3.6985,                 12.162,                  4.698,                      0,                      0,                      0,                      0,                 6.9749,                 19.654,                  4.183,              0.0005903,              0.0005903,              0.0005903
                     18,                  4.413,                 10.306,                 3.6986,                      0,                      0,                      0,                      0,                 6.9746,                 18.171,                 4.1886,             0.00062146,             0.00062146,             0.00062146
                     19,                 4.0853,                 9.7902,                 3.0022,                      0,                      0,                      0,                      0,                 6.9734,                 16.637,                 4.1913,             0.00065209,             0.00065209,             0.00065209
                     20,                 3.8127,                 11.117,                 3.3661,                      0,                      0,                      0,                      0,                 6.9719,                  15.75,                 4.1957,             0.00068219,             0.00068219,             0.00068219
                     21,                 4.4229,                 9.6121,                 3.3815,                      0,                      0,                      0,                      0,                 6.9702,                 18.759,                 4.1994,             0.00071176,             0.00071176,             0.00071176
                     22,                 4.1857,                 8.6413,                 2.5719,                      0,                      0,                      0,                      0,                 6.9664,                 20.006,                 4.1948,              0.0007408,              0.0007408,              0.0007408
                     23,                 3.7643,                 12.066,                 3.0126,                      0,                      0,                      0,                      0,                 6.9623,                 18.223,                 4.1851,             0.00076932,             0.00076932,             0.00076932
                     24,                 4.0305,                 8.9344,                 2.8261,                      0,                      0,                      0,                      0,                  6.957,                  16.27,                 4.1669,             0.00079731,             0.00079731,             0.00079731
                     25,                 3.6865,                 7.4889,                 2.3969,                      0,                      0,                      0,                      0,                 6.9522,                 16.472,                 4.1479,             0.00082477,             0.00082477,             0.00082477
                     26,                 3.1189,                 6.4604,                 2.4033,                      0,                      0,                      0,                      0,                 6.9509,                 17.135,                 4.1427,              0.0008517,              0.0008517,              0.0008517
                     27,                 3.1936,                 5.6062,                 2.0285,                      0,                      0,                      0,                      0,                 6.9475,                 18.556,                 4.1257,              0.0008781,              0.0008781,              0.0008781
                     28,                 3.0973,                  4.919,                 2.4911,                      0,                      0,                      0,                      0,                 6.9475,                 18.556,                 4.1257,             0.00090398,             0.00090398,             0.00090398
                     29,                 3.2324,                 6.3728,                 3.1576,                      0,                      0,                      0,                      0,                 6.9413,                 20.265,                 4.1002,             0.00092933,             0.00092933,             0.00092933
                     30,                 2.9435,                 5.0986,                 2.5606,                      0,                      0,                      0,                      0,                 6.9437,                 20.308,                 4.1073,             0.00095415,             0.00095415,             0.00095415
                     31,                 3.0189,                  5.125,                 2.3884,                      0,                      0,                      0,                      0,                 6.9437,                 20.308,                 4.1073,             0.00097844,             0.00097844,             0.00097844
                     32,                 3.9587,                 4.7866,                 2.1366,                      0,                      0,                      0,                      0,                 6.9435,                 20.709,                 4.0992,              0.0010022,              0.0010022,              0.0010022
                     33,                 3.3542,                 4.4492,                 2.1811,                      0,                      0,                      0,                      0,                 6.9435,                 20.182,                 4.0957,              0.0010254,              0.0010254,              0.0010254
                     34,                 3.1569,                 4.5288,                 2.0669,                      0,                      0,                      0,                      0,                 6.9435,                 20.182,                 4.0957,              0.0010481,              0.0010481,              0.0010481
                     35,                 3.2572,                 5.6834,                 1.9019,                      0,                      0,                      0,                      0,                 6.9485,                 19.085,                 4.1032,              0.0010703,              0.0010703,              0.0010703
                     36,                 2.9901,                 4.3439,                 1.8621,                      0,                      0,                      0,                      0,                 6.9537,                 17.829,                 4.1181,               0.001092,               0.001092,               0.001092
                     37,                 3.6421,                 4.3723,                 1.8329,                      0,                      0,                      0,                      0,                 6.9537,                 17.829,                 4.1181,              0.0011131,              0.0011131,              0.0011131
                     38,                 3.3604,                 3.8939,                 1.7817,                      0,                      0,                      0,                      0,                 6.9552,                 16.562,                 4.1164,              0.0011337,              0.0011337,              0.0011337
