                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.04946,                  123.3,                0.04216,                      0,                      0,                      0,                      0,                 6.9736,                 32.874,                  4.159,                  2e-05,                  2e-05,                  2e-05
                      2,                0.71888,                 119.92,                0.53845,                      0,                      0,                      0,                      0,                 6.9735,                 32.914,                 4.1591,             5.9604e-05,             5.9604e-05,             5.9604e-05
                      3,                  1.493,                 117.62,                 1.8624,                      0,                      0,                      0,                      0,                 6.9734,                 32.929,                 4.1593,              9.868e-05,              9.868e-05,              9.868e-05
                      4,                  1.075,                 113.14,                0.86801,                      0,                      0,                      0,                      0,                 6.9733,                 32.951,                 4.1595,             0.00013723,             0.00013723,             0.00013723
                      5,                 1.5039,                 107.59,                 1.6067,                      0,                      0,                      0,                      0,                 6.9733,                 32.982,                   4.16,             0.00017525,             0.00017525,             0.00017525
                      6,                  3.658,                 103.14,                 2.9973,                      0,                      0,                      0,                      0,                 6.9732,                 32.966,                 4.1607,             0.00021274,             0.00021274,             0.00021274
                      7,                0.98077,                 95.244,                0.62232,                      0,                      0,                      0,                      0,                 6.9732,                 32.896,                 4.1615,              0.0002497,              0.0002497,              0.0002497
                      8,                 1.9685,                 87.185,                 1.4959,                      0,                      0,                      0,                      0,                 6.9733,                  32.78,                 4.1625,             0.00028614,             0.00028614,             0.00028614
                      9,                 4.4187,                 77.023,                 3.2843,                      0,                      0,                      0,                      0,                 6.9733,                 32.628,                 4.1632,             0.00032205,             0.00032205,             0.00032205
                     10,                 4.7369,                 69.447,                 3.8725,                      0,                      0,                      0,                      0,                 6.9734,                 32.235,                 4.1646,             0.00035743,             0.00035743,             0.00035743
                     11,                 5.1476,                 44.685,                 5.3661,                      0,                      0,                      0,                      0,                 6.9735,                  31.63,                 4.1664,             0.00039228,             0.00039228,             0.00039228
                     12,                 4.8586,                  38.78,                 6.2744,                      0,                      0,                      0,                      0,                 6.9736,                 31.054,                 4.1683,              0.0004266,              0.0004266,              0.0004266
                     13,                 4.7534,                 50.837,                 4.4513,                      0,                      0,                      0,                      0,                 6.9738,                 30.774,                 4.1707,              0.0004604,              0.0004604,              0.0004604
                     14,                 4.6777,                 23.317,                 4.9275,                      0,                      0,                      0,                      0,                 6.9741,                 30.428,                 4.1742,             0.00049367,             0.00049367,             0.00049367
                     15,                 3.3989,                 17.918,                  6.633,                      0,                      0,                      0,                      0,                 6.9744,                 30.075,                 4.1784,             0.00052641,             0.00052641,             0.00052641
                     16,                 4.0963,                 17.906,                 5.6387,                      0,                      0,                      0,                      0,                 6.9746,                 29.263,                 4.1826,             0.00055862,             0.00055862,             0.00055862
                     17,                 3.9108,                 18.464,                 5.2419,                      0,                      0,                      0,                      0,                 6.9747,                 27.513,                 4.1875,              0.0005903,              0.0005903,              0.0005903
                     18,                 5.1623,                 24.454,                 3.0147,                      0,                      0,                      0,                      0,                 6.9747,                 24.027,                 4.1938,             0.00062146,             0.00062146,             0.00062146
                     19,                 5.0749,                  21.11,                 3.0543,                      0,                      0,                      0,                      0,                 6.9747,                 21.446,                 4.2005,             0.00065209,             0.00065209,             0.00065209
                     20,                 4.2098,                 15.713,                 2.9516,                      0,                      0,                      0,                      0,                 6.9743,                 20.366,                 4.2061,             0.00068219,             0.00068219,             0.00068219
                     21,                      4,                 15.107,                 2.8568,                      0,                      0,                      0,                      0,                 6.9734,                 20.276,                 4.2116,             0.00071176,             0.00071176,             0.00071176
                     22,                 4.1523,                 16.076,                  2.879,                      0,                      0,                      0,                      0,                 6.9726,                 21.162,                 4.2148,              0.0007408,              0.0007408,              0.0007408
                     23,                 3.9037,                 17.261,                 3.6124,                      0,                      0,                      0,                      0,                  6.972,                 22.393,                 4.2168,             0.00076932,             0.00076932,             0.00076932
                     24,                 4.3732,                 16.152,                 2.8697,                      0,                      0,                      0,                      0,                 6.9707,                 21.669,                 4.2225,             0.00079731,             0.00079731,             0.00079731
                     25,                 3.9836,                 14.913,                 2.9396,                      0,                      0,                      0,                      0,                 6.9702,                 19.612,                 4.2255,             0.00082477,             0.00082477,             0.00082477
                     26,                  3.307,                 10.598,                 2.2603,                      0,                      0,                      0,                      0,                 6.9709,                 17.434,                 4.2383,              0.0008517,              0.0008517,              0.0008517
                     27,                  3.111,                 8.5983,                 1.7185,                      0,                      0,                      0,                      0,                 6.9735,                 17.417,                 4.2527,              0.0008781,              0.0008781,              0.0008781
                     28,                 3.2615,                 7.8321,                 1.9939,                      0,                      0,                      0,                      0,                 6.9735,                 17.417,                 4.2527,             0.00090398,             0.00090398,             0.00090398
                     29,                  3.404,                 10.183,                 2.6923,                      0,                      0,                      0,                      0,                 6.9759,                 16.965,                 4.2671,             0.00092933,             0.00092933,             0.00092933
                     30,                 3.3472,                 9.0393,                 2.4435,                      0,                      0,                      0,                      0,                 6.9763,                 17.209,                 4.2755,             0.00095415,             0.00095415,             0.00095415
                     31,                 3.2195,                 7.6099,                 2.1767,                      0,                      0,                      0,                      0,                 6.9763,                 17.209,                 4.2755,             0.00097844,             0.00097844,             0.00097844
                     32,                 3.6583,                 7.8326,                 1.6716,                      0,                      0,                      0,                      0,                  6.975,                  18.53,                 4.2791,              0.0010022,              0.0010022,              0.0010022
                     33,                 3.4929,                 9.0644,                 1.9189,                      0,                      0,                      0,                      0,                 6.9743,                 20.162,                 4.2815,              0.0010254,              0.0010254,              0.0010254
                     34,                 2.9938,                 8.0274,                 2.0647,                      0,                      0,                      0,                      0,                 6.9743,                 20.162,                 4.2815,              0.0010481,              0.0010481,              0.0010481
                     35,                 3.0989,                 9.2995,                 1.6334,                      0,                      0,                      0,                      0,                 6.9725,                 18.482,                 4.2662,              0.0010703,              0.0010703,              0.0010703
                     36,                 2.7847,                 6.6626,                 1.7783,                      0,                      0,                      0,                      0,                 6.9711,                 16.862,                 4.2607,               0.001092,               0.001092,               0.001092
                     37,                 2.7309,                 5.3325,                 1.4709,                      0,                      0,                      0,                      0,                 6.9711,                 16.862,                 4.2607,              0.0011131,              0.0011131,              0.0011131
                     38,                 3.0284,                 5.3729,                 1.7567,                      0,                      0,                      0,                      0,                 6.9679,                  16.16,                 4.2447,              0.0011337,              0.0011337,              0.0011337
                     39,                 3.1686,                 5.4323,                 1.7206,                      0,                      0,                      0,                      0,                 6.9649,                  15.12,                 4.2299,              0.0011538,              0.0011538,              0.0011538
                     40,                  2.927,                 4.5673,                 1.4974,                      0,                      0,                      0,                      0,                 6.9649,                  15.12,                 4.2299,              0.0011733,              0.0011733,              0.0011733
                     41,                 2.8653,                 4.8917,                 1.4975,                      0,                      0,                      0,                      0,                 6.9618,                 13.631,                 4.2135,              0.0011923,              0.0011923,              0.0011923
